benchmark,scale_factor,RIOT_STACK,HEAP,environment,iterations,STACK,board
crc_32,6,512,,native,2,,nrf52840dk
crc_32,6,1792,10,jerryscript,2,2,nrf52840dk
crc_32,6,1920,31488,lua,2,,nrf52840dk
crc_32,6,1536,13632,micropython,2,,nrf52840dk
crc_32,6,3648,,micro-bpf,2,,nrf52840dk
crc_32,6,1792,,wamr,2,320,nrf52840dk
crc_32,6,1792,,wamr-fast,2,256,nrf52840dk
huffbench,1,512,,native,2,,nrf52840dk
huffbench,1,1792,21,jerryscript,2,2,nrf52840dk
huffbench,1,2112,51776,lua,2,,nrf52840dk
huffbench,1,1280,17024,micropython,2,,nrf52840dk
huffbench,1,3712,,micro-bpf,2,,nrf52840dk
huffbench,1,2112,,wamr,2,576,nrf52840dk
huffbench,1,2048,,wamr-fast,2,448,nrf52840dk
matmult-int,1,512,,native,2,,nrf52840dk
matmult-int,1,1472,29,jerryscript,2,1,nrf52840dk
matmult-int,1,2176,56128,lua,2,,nrf52840dk
matmult-int,1,1280,21440,micropython,2,,nrf52840dk
matmult-int,1,3648,,micro-bpf,2,,nrf52840dk
matmult-int,1,2112,,wamr,2,384,nrf52840dk
matmult-int,1,2048,,wamr-fast,2,320,nrf52840dk
md5,2,512,,native,2,,nrf52840dk
md5,2,1728,14,jerryscript,2,1,nrf52840dk
md5,2,2240,48192,lua,2,,nrf52840dk
md5,2,1536,11648,micropython,2,,nrf52840dk
md5,2,3712,,micro-bpf,2,,nrf52840dk
md5,2,2112,,wamr,2,576,nrf52840dk
md5,2,2048,,wamr-fast,2,576,nrf52840dk
mont64,13,512,,native,2,,nrf52840dk
mont64,13,1792,4,jerryscript,2,2,nrf52840dk
mont64,13,2240,22016,lua,2,,nrf52840dk
mont64,13,1664,10368,micropython,2,,nrf52840dk
mont64,13,3712,,micro-bpf,2,,nrf52840dk
mont64,13,1792,,wamr,2,640,nrf52840dk
mont64,13,1792,,wamr-fast,2,704,nrf52840dk
nettle-sha256,12,512,,native,2,,nrf52840dk
nettle-sha256,12,2432,9,jerryscript,2,2,nrf52840dk
nettle-sha256,12,2368,29952,lua,2,,nrf52840dk
nettle-sha256,12,3008,30144,micropython,2,,nrf52840dk
nettle-sha256,12,3712,,micro-bpf,2,,nrf52840dk
nettle-sha256,12,2112,,wamr,2,704,nrf52840dk
nettle-sha256,12,2048,,wamr-fast,2,1088,nrf52840dk
nsichneu,20,512,,native,2,,nrf52840dk
nsichneu,20,1408,34,jerryscript,2,1,nrf52840dk
nsichneu,20,2048,100352,lua,2,,nrf52840dk
nsichneu,20,704,125184,micropython,2,,nrf52840dk
nsichneu,20,3712,,micro-bpf,2,,nrf52840dk
nsichneu,20,1792,,wamr,2,448,nrf52840dk
nsichneu,20,1792,,wamr-fast,2,384,nrf52840dk
slre,2,896,,native,2,,nrf52840dk
slre,2,3712,10,jerryscript,2,3,nrf52840dk
slre,2,2688,47488,lua,2,,nrf52840dk
slre,2,4161,43584,micropython,2,,nrf52840dk
slre,2,3712,,micro-bpf,2,,nrf52840dk
slre,2,1792,,wamr,2,3328,nrf52840dk
slre,2,1792,,wamr-fast,2,1984,nrf52840dk
statemate,86,512,,native,2,,nrf52840dk
statemate,86,1408,15,jerryscript,2,1,nrf52840dk
statemate,86,2880,57152,lua,2,,nrf52840dk
statemate,86,1344,41536,micropython,2,,nrf52840dk
statemate,86,3648,,micro-bpf,2,,nrf52840dk
statemate,86,2112,,wamr,2,704,nrf52840dk
statemate,86,2048,,wamr-fast,2,512,nrf52840dk
tarfind,3,512,,native,2,,nrf52840dk
tarfind,3,1600,15,jerryscript,2,1,nrf52840dk
tarfind,3,2112,47360,lua,2,,nrf52840dk
tarfind,3,1472,10097,micropython,2,,nrf52840dk
tarfind,3,3648,,micro-bpf,2,,nrf52840dk
tarfind,3,2112,,wamr,2,576,nrf52840dk
tarfind,3,2048,,wamr-fast,2,384,nrf52840dk
ud,41,512,,native,2,,nrf52840dk
ud,41,1600,5,jerryscript,2,1,nrf52840dk
ud,41,2304,23296,lua,2,,nrf52840dk
ud,41,960,6976,micropython,2,,nrf52840dk
ud,41,3648,,micro-bpf,2,,nrf52840dk
ud,41,1792,,wamr,2,512,nrf52840dk
ud,41,1792,,wamr-fast,2,448,nrf52840dk
xgboost,1,512,,native,2,,nrf52840dk
xgboost,1,1728,48,jerryscript,2,1,nrf52840dk
xgboost,1,2176,145520,lua,2,,nrf52840dk
xgboost,1,960,60160,micropython,2,,nrf52840dk
xgboost,1,3648,,micro-bpf,2,,nrf52840dk
xgboost,1,1792,,wamr,2,512,nrf52840dk
xgboost,1,1792,,wamr-fast,2,448,nrf52840dk
