benchmark,board,environment,allocated_memory
crc_32,nrf52840dk,micro-bpf,6380
crc_32,nrf52840dk,wamr,14617
crc_32,nrf52840dk,wamr-fast,13377
huffbench,nrf52840dk,micro-bpf,18240
huffbench,nrf52840dk,wamr,24396
huffbench,nrf52840dk,wamr-fast,26514
matmult-int,nrf52840dk,micro-bpf,14388
matmult-int,nrf52840dk,wamr,24311
matmult-int,nrf52840dk,wamr-fast,23693
md5,nrf52840dk,micro-bpf,8544
md5,nrf52840dk,wamr,16527
md5,nrf52840dk,wamr-fast,16295
mont64,nrf52840dk,micro-bpf,6448
mont64,nrf52840dk,wamr,13391
mont64,nrf52840dk,wamr-fast,13847
nettle-sha256,nrf52840dk,micro-bpf,6600
nettle-sha256,nrf52840dk,wamr,17363
nettle-sha256,nrf52840dk,wamr-fast,27233
nsichneu,nrf52840dk,micro-bpf,6520
nsichneu,nrf52840dk,wamr,41619
nsichneu,nrf52840dk,wamr-fast,97363
slre,nrf52840dk,micro-bpf,6784
slre,nrf52840dk,wamr,17098
slre,nrf52840dk,wamr-fast,25658
statemate,nrf52840dk,micro-bpf,6612
statemate,nrf52840dk,wamr,13900
statemate,nrf52840dk,wamr-fast,14916
tarfind,nrf52840dk,micro-bpf,15380
tarfind,nrf52840dk,wamr,21938
tarfind,nrf52840dk,wamr-fast,21260
ud,nrf52840dk,micro-bpf,8148
ud,nrf52840dk,wamr,15151
ud,nrf52840dk,wamr-fast,15651
xgboost,nrf52840dk,micro-bpf,6380
xgboost,nrf52840dk,wamr,77628
xgboost,nrf52840dk,wamr-fast,77228
